Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
1989-0187-PHL,1989,0187,Natural,Meteorological,Storm,Tropical cyclone,,Breda (Bining),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1989,5,15,1989,5,15,13,3,12282,652,12937,,,2860,48.48936537
1989-0094-PHL,1989,0094,Natural,Hydrological,Flood,,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Sorgoson, Camatines Sur, Samar",,,,Yes,,,,,Km2,,,,,1989,2,9,1989,2,9,44,11,260000,,260011,,,6000,48.48936537
1990-0005-IDN,1990,0005,Natural,Hydrological,Flood,Riverine flood,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,"Semarang, Temanggung, Batang, Kendal, Pati, Sragen, Grobongan, Cilacap, Demak, Rembang, Banyumas municipalities (Central Java)",Heavy rain,Broken Dam/Burst bank,"Slide (land, mud, snow, rock)",Yes,No,No,,23640,Km2,,,,Banjir Kanal Barat river,1990,1,26,1990,2,1,169,,21000,,21000,,,4800,51.106795
1990-0593-IDN,1990,0593,Natural,Geophysical,Earthquake,Ground movement,,,OFDA,Indonesia,IDN,South-Eastern Asia,Asia,"Bangkejeren, Kutacane, Medan area (North Sumatra)",,"Slide (land, mud, snow, rock)",,,No,No,,6,Richter,3.908 N,97.457 E,,,1990,11,15,1990,11,15,1,32,2140,,2172,,,2100,51.106795
1990-0040-PHL,1990,0040,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Cabanatuan, Baguio, Dagupon (Luzon Isl.)",,"Slide (land, mud, snow, rock)",,Yes,Yes,No,,8,Richter,15.658 N,121.227 E,,,1990,7,16,1990,7,16,2412,3513,1594040,,1597553,,55400,369600,51.106795
1990-0616-PHL,1990,0616,Natural,Hydrological,Flood,Coastal flood,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Capital region Manila and Northern Luzon.,Tropical cyclone,"Slide (land, mud, snow, rock)",,Yes,No,No,,,Km2,,,,,1990,8,25,1990,9,1,28,,50000,,50000,,,,51.106795
1990-0009-PHL,1990,0009,Natural,Geophysical,Earthquake,Ground movement,,,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,"Bohol, Cebu, Cagayan De Oro, Camiguin, Cotabato, Mindanao",,Tsunami/Tidal wave,,,,,,7,Richter,9.725,124.625,,,1990,2,8,1990,2,8,1,4,34500,,34504,,,900,51.106795
1990-0017-IDN,1990,0017,Natural,Geophysical,Earthquake,Ground movement,,,OFDA,Indonesia,IDN,South-Eastern Asia,Asia,Minahassa Peninsula (Sulawesi Isl.),,,,,,,,8,Richter,1.186,122.857,21:39,,1990,4,18,1990,4,18,5,36,7000,,7036,,,,51.106795
1990-0702-IDN,1990,0702,Natural,Geophysical,Earthquake,Ground movement,,,Affected,Indonesia,IDN,South-Eastern Asia,Asia,"Kuningan, Majalenga, Sumedang area (Java)",,,,,No,No,,6,Richter,9.904 S,101.120 E,,,1990,7,6,1990,7,6,,103,,,103,,,,51.106795
1990-0012-IDN,1990,0012,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Kelud,Kill,Indonesia,IDN,South-Eastern Asia,Asia,East Java,,,,Yes,No,No,,,,7.9 S,112.3 E,11:41,,1990,2,10,1990,2,12,33,,10265,,10265,,,8000,51.106795
1990-0239-IDN,1990,0239,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Kill,Indonesia,IDN,South-Eastern Asia,Asia,Moluccan Isl.,,,,,,,,,Vaccinated,,,,,1990,12,,1990,12,,50,,,,,,,,51.106795
1990-0709-IDN,1990,0709,Natural,Hydrological,Flood,,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,Bogor (Jakarta),,,,,No,No,,,Km2,,,,,1990,4,4,1990,4,5,22,,,,,,,,51.106795
1990-0028-PHL,1990,0028,Natural,Geophysical,Earthquake,Ground movement,,,Declar,Philippines (the),PHL,South-Eastern Asia,Asia,Cualasi area (Near Panay Isl.),,,,,,,,7,Richter,11.76,121.899,16:40,,1990,6,14,1990,6,14,4,15,,,15,,,,51.106795
1990-0027-PHL,1990,0027,Natural,Hydrological,Flood,Flash flood,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Manukan, Bacungan, Zamboanga city (Zamboanga Del Norte province)",Brief torrential rains,,,,No,No,,3620,Km2,,,,,1990,6,17,1990,6,19,98,,236,,236,,,43,51.106795
1990-0025-PHL,1990,0025,Natural,Meteorological,Storm,Tropical cyclone,,Ofelia (Biring) & Percy,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,North and Eastern Luzon,,,,,,,,150,Kph,,,,,1990,6,22,1990,6,22,64,14,160000,,160014,,,,51.106795
1990-0122-PHL,1990,0122,Natural,Meteorological,Storm,Tropical cyclone,,Mike (Ruping),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Samar, Masbate provinces, Palwan, Iloilo, Negros occidental, Cebu",,,,Yes,No,Yes,,240,Kph,,,,,1990,11,12,1990,11,16,503,1274,5048275,1110020,6159569,,,388500,51.106795
1990-0400-PHL,1990,0400,Natural,Meteorological,Storm,Tropical cyclone,,Becky,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1990,8,28,1990,8,28,85,,,,,,,,51.106795
1990-0401-PHL,1990,0401,Natural,Meteorological,Storm,Tropical cyclone,,Abe,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,North,,,,,,,,,Kph,,,,,1990,8,30,1990,8,30,85,,,,,,,,51.106795
1990-0687-PHL,1990,0687,Natural,Meteorological,Storm,Tropical cyclone,,Dot,Regional,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1990,9,8,1990,9,8,,,,,,,,,51.106795
1990-0625-PHL,1990,0625,Natural,Biological,Epidemic,Viral disease,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Bicol,,,,,,,,,Vaccinated,,,,,1990,9,,1990,9,,21,,200,,200,,,,51.106795
1990-9707-PHL,1990,9707,Natural,Climatological,Drought,Drought,,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Regions VI, IX, X, XI and XII",El Nino,,,,,,,3046,Km2,,,,,1990,12,,1992,7,,,,254282,,254282,,,64000,51.106795
1990-0645-PHL,1990,0645,Natural,Hydrological,Flood,,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1990,9,,1990,9,,50,,662500,,662500,,,,51.106795
1991-0132-PHL,1991,0132,Natural,Geophysical,Volcanic activity,Ash fall,,Mount Pinatubo,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Zambales, Pampanga, Olongapo, Tarlac (Luzon Isl.)",,Flood,"Slide (land, mud, snow, rock)",Yes,No,No,,,,15.13 N,120.35 E,,,1991,6,9,1991,6,22,640,195,1035870,,1036065,,,211000,53.27115662
1991-0383-PHL,1991,0383,Natural,Meteorological,Storm,Tropical cyclone,,Thelma (Uring),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Bago, La Cariota, Bacalod (Negros) and Leyte",,Flood,"Slide (land, mud, snow, rock)",Yes,No,No,,,Kph,,,,,1991,11,5,1991,11,8,5956,3050,598454,45750,647254,,,100000,53.27115662
1991-0418-IDN,1991,0418,Natural,Climatological,Wildfire,Forest fire,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,"Borneo, Sumatra Isl., Kalimatan, java, Sulawesi",Prolonged drought,Pollution,Transport accident,,No,No,,1000,Km2,,,,,1991,8,1,1991,10,27,57,8,,,8,,,13200,53.27115662
1991-0533-PHL,1991,0533,Natural,Hydrological,Flood,Coastal flood,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Luzon Isl.,Extra-tropical cyclone,"Slide (land, mud, snow, rock)",,,No,No,,,Km2,,,,,1991,8,20,1991,8,24,50,,,,,,,,53.27115662
1991-0124-IDN,1991,0124,Natural,Geophysical,Earthquake,Ground movement,,,OFDA,Indonesia,IDN,South-Eastern Asia,Asia,Gorontalo area (Minahassa Peninsula),,,,,No,No,,7,Richter,1.196 N,122.787 E,12:18,,1991,6,20,1991,6,20,,,1000,,1000,,,,53.27115662
1991-0165-IDN,1991,0165,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,"Kalabahi (Alors district, Timor)",,,,Yes,No,No,,7,Richter,8.099 S,125.681 E,20:00,,1991,7,4,1991,7,4,28,191,15000,1000,16191,,,18000,53.27115662
1991-0417-IDN,1991,0417,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Lokon,Affect,Indonesia,IDN,South-Eastern Asia,Asia,"Minahasa (Tomohon district, North Sulawesi)",,,,,No,No,,,,1.36 N,124.79 E,9:31,,1991,10,24,1991,10,24,,,7679,,7679,,,1000,53.27115662
1991-0512-IDN,1991,0512,Natural,Hydrological,Flood,Riverine flood,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,Kalimatan province,,,,,No,No,,,Km2,,,,,1991,6,6,1991,6,6,97,,,,,,,,53.27115662
1991-0692-IDN,1991,0692,Natural,Hydrological,Flood,Riverine flood,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,"Riau, Jambi, Lampung provinces (Sumatra)",Heavy rain,,,,No,No,,,Km2,,,,,1991,12,16,1991,12,19,15,,240000,,240000,,,14800,53.27115662
1991-0010-IDN,1991,0010,Natural,Hydrological,Landslide,Landslide,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,Java,,,,,,,,,,,,,,1991,1,16,1991,1,16,33,,,,,,,,53.27115662
1991-0084-IDN,1991,0084,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Kill,Indonesia,IDN,South-Eastern Asia,Asia,Aceh province (North Sumatra),,,,,,,,,Vaccinated,,,,,1991,3,,1991,3,,55,,6000,,6000,,,,53.27115662
1991-0668-IDN,1991,0668,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Kill,Indonesia,IDN,South-Eastern Asia,Asia,,,,,,,,,,Vaccinated,,,,,1991,1,,1991,1,,48,,,,,,,,53.27115662
1991-0672-IDN,1991,0672,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Kill,Indonesia,IDN,South-Eastern Asia,Asia,Sumatra Centrale,,,,,,,,,Vaccinated,,,,,1991,8,,1991,8,,35,,,,,,,,53.27115662
1991-0669-IDN,1991,0669,Natural,Biological,Epidemic,Viral disease,,Dengue fever,Kill,Indonesia,IDN,South-Eastern Asia,Asia,Java,,,,,,,,,Vaccinated,,,,,1991,1,15,1991,1,15,41,,,,,,,,53.27115662
1991-0154-IDN,1991,0154,Natural,Biological,Epidemic,,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,"Aceh province (North Sumatra), Kalimatan",,,,,,,,,Vaccinated,,,,,1991,4,,1991,4,,115,,9000,,9000,,,,53.27115662
1991-0211-KHM,1991,0211,Natural,Hydrological,Flood,Riverine flood,,,Kill,Cambodia,KHM,South-Eastern Asia,Asia,"Kampong Cham, Prey Veng, Kampot, Kampong Spen, Takeo, Kandal Provinces",Heavy rain,,,Yes,No,No,,55860,Km2,,,,,1991,8,22,1991,8,30,100,,650000,250000,900000,,,150000,53.27115662
1991-0761-LAO,1991,0761,Natural,Hydrological,Flood,Riverine flood,,,Affect,Lao People's Democratic Republic (the),LAO,South-Eastern Asia,Asia,"Khammouane, Savannakhet, Champassak",,,,Yes,,,,,Km2,,,,,1991,9,,1991,9,,,,332000,,332000,,,,53.27115662
1991-9195-LAO,1991,9195,Natural,Climatological,Drought,Drought,,,,Lao People's Democratic Republic (the),LAO,South-Eastern Asia,Asia,Whole country,,,,,,,,132,Km2,,,,,1991,7,,1993,,,,,,,,,,1000,53.27115662
1991-0701-LAO,1991,0701,Natural,Meteorological,Storm,,,,Affect,Lao People's Democratic Republic (the),LAO,South-Eastern Asia,Asia,Whole country,,,,,,,,,Kph,,,,,1991,,,1991,,,,,38315,,38315,,,150,53.27115662
1991-0001-MMR,1991,0001,Natural,Geophysical,Earthquake,Ground movement,,,Affect,Myanmar,MMR,South-Eastern Asia,Asia,Thabeikkyin area,,,,,No,No,,7,Richter,23.5 N,96.3 E,,,1991,1,5,1991,1,5,,,160,,160,,,,53.27115662
1991-0168-MMR,1991,0168,Natural,Hydrological,Flood,Riverine flood,,,Kill,Myanmar,MMR,South-Eastern Asia,Asia,"Sagaing, Ayeyarwady divisions",,,,Yes,No,No,,1011,Km2,,,,,1991,7,13,1991,7,13,23,,359976,,359976,,,79840,53.27115662
1991-0771-MYS,1991,0771,Natural,Biological,Epidemic,Viral disease,,Dengue fever,Kill,Malaysia,MYS,South-Eastern Asia,Asia,Kuala Lumpur + other areas,,,,,,,,,Vaccinated,,,,,1991,,,1991,,,263,,3750,,3750,,,,53.27115662
1991-0079-PHL,1991,0079,Natural,Geophysical,Volcanic activity,Ash fall,,Poon Bato,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,Zambales province,,,,,No,No,,,,,,,,1991,4,5,1991,4,5,,,,2000,2000,,,,53.27115662
1991-0087-PHL,1991,0087,Natural,Geophysical,Volcanic activity,Ash fall,,Taal,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,Balangas province,,,,,No,No,,,,14 N,121 E,,,1991,4,,1991,4,,,,,3800,3800,,,,53.27115662
1991-0379-PHL,1991,0379,Natural,Hydrological,Flood,Coastal flood,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Near Leyte (Samar Isl.),,,,,,,,,Km2,,,,,1991,11,11,1991,11,11,10,,,,,,,,53.27115662
1991-0708-PHL,1991,0708,Natural,Hydrological,Flood,Flash flood,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Tangag (Surigao del Sur),,,,,,,,,Km2,,,,,1991,3,,1991,3,,10,,,823,823,,,1300,53.27115662
1991-0174-PHL,1991,0174,Natural,Meteorological,Storm,Tropical cyclone,,Brendan,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,Near Tuguegaro (Pinatubo region),,,,,,,,100,Kph,,,,,1991,7,22,1991,7,22,2,,,10000,10000,,,,53.27115662
1991-0382-PHL,1991,0382,Natural,Meteorological,Storm,Tropical cyclone,,Ruth (Trining),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Luzon Isl.,,,,Yes,No,Yes,,260,Kph,,,,,1991,10,27,1991,10,27,65,38,300000,16000,316038,,19900,90000,53.27115662
1991-0517-PHL,1991,0517,Natural,Meteorological,Storm,Tropical cyclone,,Zeke (Etang),Unknown,Philippines (the),PHL,South-Eastern Asia,Asia,"Catanduanes, Albay, Quezon Provinces (Southern Luzon Isl.)",,,,,,,,,Kph,,,,,1991,7,10,1991,7,10,47,21,505756,,505777,,,85000,53.27115662
1991-0521-PHL,1991,0521,Natural,Meteorological,Storm,Tropical cyclone,,Amy,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,"Pampanga, Tarlac provinces",,,,,,,,,Kph,,,,,1991,7,18,1991,7,18,4,,,2500,2500,,,,53.27115662
1991-0525-PHL,1991,0525,Natural,Meteorological,Storm,Tropical cyclone,,Caitlin,Unknown,Philippines (the),PHL,South-Eastern Asia,Asia,"Concepcion, Floridablanca, Manila",,,,,,,,,Kph,,,,,1991,7,26,1991,7,26,9,,90296,,90296,,,,53.27115662
1992-0296-PHL,1992,0296,Natural,Meteorological,Storm,Tropical cyclone,,Gary,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Regions III and NCR,,Flood,"Slide (land, mud, snow, rock)",,No,No,,,Kph,,,,,1992,7,20,1992,7,20,42,77,134417,,134494,,,,54.88464241
1992-0057-PHL,1992,0057,Natural,Hydrological,Flood,,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Abra, Benguet, Mt. Province, Ilocos Norte, Ilocos Sur, Bataan, Bulacan, Pampanga, Zambales, Pangasinan, Tarlac, Cavite, La Union, National Capital region","Volcanic activity, tropical rainstorms and ash from the eruptions","Slide (land, mud, snow, rock)",,Yes,No,No,7520,,Km2,,,,,1992,7,,1992,8,,60,13,942764,,942777,,,74200,54.88464241
1992-0163-IDN,1992,0163,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,"Sikka, East Flores, Ende, Ngada (Flores Isl.)",,Tsunami/Tidal wave,,Yes,No,No,5209,8,Richter,8.482 S,121.930 E,,,1992,12,12,1992,12,12,2500,2103,,90000,92103,,,100000,54.88464241
1992-0295-PHL,1992,0295,Natural,Meteorological,Storm,Tropical cyclone,,Eli (Konsing),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Aurora, Zambales, Nueva Ecija, Nueva Vizcaya, Pangasinan, La Union, Benguet, Ifugao, Isabela, Tarlac provinces",,Transport accident,,,No,No,,109,Kph,,,,,1992,7,11,1992,7,12,22,,5135,,5135,,,,54.88464241
1992-0247-IDN,1992,0247,Natural,Geophysical,Earthquake,Ground movement,,,Affect,Indonesia,IDN,South-Eastern Asia,Asia,"Brebes area (Java, Sulawesi)",,,,,No,No,,5,Richter,7.138 S,109.067 E,,,1992,2,4,1992,2,4,,1,,7500,7501,,,,54.88464241
1992-0148-IDN,1992,0148,Natural,Hydrological,Landslide,Landslide,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,"Tasikmalaya, Ciamis, Garut districts (West Java)",,,,,,,,,,,,,,1992,10,8,1992,10,8,75,,37000,,37000,,,5400,54.88464241
1992-0484-IDN,1992,0484,Natural,Hydrological,Flood,,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,Trenggalek (East Java),,,,,,,,122,Km2,,,,,1992,8,,1992,8,,57,249378,9330,6845,265553,,,,54.88464241
1992-0261-KHM,1992,0261,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Kill,Cambodia,KHM,South-Eastern Asia,Asia,Kompong Province,,,,,,,,,Vaccinated,,,,,1992,6,,1992,6,,50,,400,,400,,,,54.88464241
1992-0043-KHM,1992,0043,Natural,Biological,Epidemic,Parasitic disease,,,Affect,Cambodia,KHM,South-Eastern Asia,Asia,,,,,,,,,,Vaccinated,,,,,1992,3,,1992,3,,,,380000,,380000,,,,54.88464241
1992-0488-LAO,1992,0488,Natural,Hydrological,Flood,Riverine flood,,,Kill,Lao People's Democratic Republic (the),LAO,South-Eastern Asia,Asia,Whole country,,,,,,,,,Km2,,,,,1992,8,,1992,8,,10,150,,,150,,,21828,54.88464241
1992-0470-LAO,1992,0470,Natural,Meteorological,Storm,Tropical cyclone,,Zeke & Fred,Kill,Lao People's Democratic Republic (the),LAO,South-Eastern Asia,Asia,Whole country,,,,,,,,,Kph,,,,,1992,7,10,1992,7,10,22,102,268775,,268877,,,3650,54.88464241
1992-0461-LAO,1992,0461,Natural,Biological,Epidemic,Viral disease,,,Kill,Lao People's Democratic Republic (the),LAO,South-Eastern Asia,Asia,Sekong province,,,,,,,,,Vaccinated,,,,,1992,3,15,1992,3,15,143,,,,,,,,54.88464241
1992-0489-MMR,1992,0489,Natural,Hydrological,Flood,,,,Affect,Myanmar,MMR,South-Eastern Asia,Asia,"Pegu, Shwegyin, Myitnge, Phan",,,,,,,,3985,Km2,,,,,1992,5,,1992,5,,5,,4625,,4625,,,55115,54.88464241
1992-0030-PHL,1992,0030,Natural,Geophysical,Volcanic activity,Ash fall,,Taal,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,Lake Taal (55 km South Manilla),,,,,No,No,,,,14 N,121 E,,,1992,2,14,1992,2,14,,,1578,,1578,,,,54.88464241
1992-0492-PHL,1992,0492,Natural,Meteorological,Storm,Tropical cyclone,,Omar (Lusing),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Luzon Isl.,,,,,,,,205,Kph,,,,,1992,8,31,1992,8,31,11,1,171603,1965,173569,,,,54.88464241
1992-0294-PHL,1992,0294,Natural,Biological,Epidemic,Viral disease,,Influenza,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Vaccinated,,,,,1992,3,15,1992,3,15,70,,,,,,,,54.88464241
1992-0491-PHL,1992,0491,Natural,Meteorological,Storm,,,Gloring,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Regions III, IV and NCR",,,,,,,,,Kph,,,,,1992,8,16,1992,8,16,26,,725956,7140,733096,,,,54.88464241
1992-0493-PHL,1992,0493,Natural,Hydrological,Flood,,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Region XI,,,,,,,,,Km2,,,,,1992,12,,1992,12,,19,,58093,162,58255,,,,54.88464241
1992-0505-PHL,1992,0505,Natural,Hydrological,Flood,,,,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,Yes,,,,,Km2,,,,,1992,10,,1992,10,,,,52800,,52800,,,,54.88464241
1993-0109-IDN,1993,0109,Natural,Geophysical,Volcanic activity,Ash fall,,Damar,Affect,Indonesia,IDN,South-Eastern Asia,Asia,Maluku Province,,,,,No,No,,,,,,,,1993,1,21,1993,1,21,1,12,3000,,3012,,,,56.50464564
1993-0110-IDN,1993,0110,Natural,Geophysical,Volcanic activity,Ash fall,,Karangetang,Affect,Indonesia,IDN,South-Eastern Asia,Asia,Sangir Talaud Island,,,,,No,No,,,,6.3 S,106 E,,,1993,1,25,1993,1,25,2,,452,,452,,,,56.50464564
1993-0560-IDN,1993,0560,Natural,Hydrological,Flood,Flash flood,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,"Tanggerang, Serang and Lebak districts (West Java Province)",Brief torrential rain,,,,No,No,,4050,Km2,,,,Cidurian and Ciujung rivers,1993,12,26,1993,12,27,72,,8000,,8000,,,,56.50464564
1993-0003-IDN,1993,0003,Natural,Hydrological,Flood,Riverine flood,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,Northern coast from Indramayu District in West Java to Gresik District in East Java,Monsoonal rain,,,,No,No,175,19200,Km2,,,,,1993,2,2,1993,2,5,59,,259553,,259553,,,19301,56.50464564
1993-0474-LAO,1993,0474,Natural,Meteorological,Storm,,,Lewis & Winona,Affect,Lao People's Democratic Republic (the),LAO,South-Eastern Asia,Asia,,,,,,,,,93,Kph,,,,,1993,7,,1993,7,,8,120,,,120,,,302151,56.50464564
1993-0227-MYS,1993,0227,Natural,Geophysical,Mass movement (dry),Landslide,,,Kill,Malaysia,MYS,South-Eastern Asia,Asia,Kuala Lumpur,,,,,,,,,,,,,,1993,12,11,1993,12,11,72,,,,,,,,56.50464564
1993-0234-MYS,1993,0234,Natural,Hydrological,Flood,Riverine flood,,,Kill,Malaysia,MYS,South-Eastern Asia,Asia,"Kelantan, Trengganu, Pahang, Perak, Johore and Sabah states",Monsoonal rain,,,,No,No,400,103800,Km2,,,,Padas,1993,12,22,1993,12,27,30,,20000,5000,25000,,,,56.50464564
1993-0008-PHL,1993,0008,Natural,Geophysical,Volcanic activity,Ash fall,,Mayon,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Ligao, Camalig, Guinobatan, Daraga, Legaspi (Albay province)",,,,Yes,No,No,587,,,13.3 N,123.7 E,,,1993,2,6,1993,3,19,79,9,108000,57000,165009,,,488,56.50464564
1993-0113-PHL,1993,0113,Natural,Hydrological,Flood,Riverine flood,,,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,"Agusan, Surigao, Davao del Norte provinces (Mindanao Island)",Monsoonal rain,,,,No,No,,23140,Km2,,,,Agusan River,1993,2,1,1993,2,5,23,,90000,,90000,,,37000,56.50464564
1993-0221-PHL,1993,0221,Natural,Hydrological,Flood,Riverine flood,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Abuyog town (Leyte province),Heavy rain,,,,No,No,,360,Km2,,,,,1993,11,29,1993,12,1,25,4,,,4,,,,56.50464564
1993-0295-PHL,1993,0295,Natural,Hydrological,Landslide,Landslide,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Kimatu,,,,,,,,,,,,,,1993,9,7,1993,9,7,21,,,,,,,,56.50464564
1993-0055-PHL,1993,0055,Natural,Meteorological,Storm,Tropical cyclone,,Koryn (Goring),Affect,Philippines (the),PHL,South-Eastern Asia,Asia,"Cordillera autonomous region (including Bagio city), Regions I-IV (including Metro Manilla)",,,,,,,,180,Kph,,,,,1993,6,26,1993,6,26,2,,29413,14322,43735,,,442,56.50464564
1993-0077-PHL,1993,0077,Natural,Meteorological,Storm,Tropical cyclone,,Flo (Kadiang),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Pampanga, Nueva Viscaya, Tarlac, Cagayan, Cavite, Bataan, Bulacan, Pangasinan, Nueva Ecija, Metro Manilla provinces",,,,Yes,,,1744,105,Kph,,,,,1993,10,4,1993,10,4,124,35,1941531,,1941566,,,188000,56.50464564
1993-0087-PHL,1993,0087,Natural,Meteorological,Storm,Tropical cyclone,,Lola (Monang) and Manny (Naning),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Catanduanes, Camarines Sur, Camarines Norte, Albay, Marinduque, Mindoro Oriental, Quezon, Laguna, Batangas, Rizal provinces (Bicol peninsula, Luzon) Visayas, Masbate, Sorgoson, Occidental Mindoro, Romblon",,,,Yes,No,No,615,210,Kph,,,,,1993,12,6,1993,12,6,311,524,994478,164800,1159802,,,50000,56.50464564
1993-0088-PHL,1993,0088,Natural,Meteorological,Storm,Tropical cyclone,,Kyle,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,No,No,,,Kph,,,,,1993,11,20,1993,11,23,1,,,,,,,2000,56.50464564
1993-0228-PHL,1993,0228,Natural,Meteorological,Storm,Tropical cyclone,,Nell (Puring),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Capiz, iloilo, Negros Oriental, Bohol, Cebu, Agusan del Norte, Cagayan de Oro, Caniguin, Southern Leyte, Surigao del Norte, Davao del Norte, Misamis Oriental",,,,,,,142,120,Kph,,,,,1993,12,26,1993,12,26,52,7,366217,,366224,,,17000,56.50464564
1993-0054-PHL,1993,0054,Natural,Hydrological,Flood,,,,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,"Metro Manilla, Region I, Region III",,,,,,,,,Km2,,,,,1993,8,26,1993,8,26,5,,258080,,258080,,,2600,56.50464564
1993-0298-PHL,1993,0298,Natural,Meteorological,Storm,,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Leyte,,,,,,,,,Kph,,,,,1993,2,,1993,2,,28,,,70000,70000,,,40000,56.50464564
1994-0007-IDN,1994,0007,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,"Liwa, Lampung Province (South Sumatra), Balikbukit, Belalau, Sumberjaya",,"Slide (land, mud, snow, rock)",,Yes,No,No,1458,7,Richter,4.967 S,104.302 E,00:08,,1994,2,16,1994,2,16,207,1449,37620,10330,49399,,,170476,57.97797424
1994-0006-IDN,1994,0006,Natural,Geophysical,Earthquake,Ground movement,,,Affect,Indonesia,IDN,South-Eastern Asia,Asia,(1) Irian Jaya region(2) Halmahera,,,,,No,No,,7,Richter,1.015 N,127.733 E,11:25,,1994,1,21,1994,1,21,7,40,200000,,200040,,,,57.97797424
